dataset,scope,air_var,alt,best_lag_min,pearson_r,N,p_value,decision,p_source,mean_diff,mean_voice,mean_silent
AIRQ002_NOISE102,OCCWINDOW:VENT_OFF,TEMP,greater,,,1187,0.4825609433954452,Fail to reject H0,HAC,0.0068150936793394,24.536729948128983,24.529914854449643
AIRQ002_NOISE102,OCCWINDOW:ALL,dCO2,greater,,,1395,0.1231664850915234,Fail to reject H0,HAC,1.8812309782608705,2.4010434782608705,0.5198124999999999
AIRQ002_NOISE102,OCCWINDOW:VENT_OFF,dCO2,greater,,,1140,0.0271869040813812,Reject H0,HAC,1.462792193560067,5.537623762376237,4.07483156881617
AIRQ002_NOISE102,OCCDAILY:ALL,CO2,greater,,,1366,0.2340629372484154,Fail to reject H0,HAC,61.274899899899765,1618.0046296296296,1556.7297297297298
AIRQ002_NOISE102,OCCDAILY:VENT_OFF,CO2,greater,,,1055,0.1328788180089734,Fail to reject H0,HAC,105.33205658998804,1638.7074468085104,1533.3753902185224
AIRQ002_NOISE102,OCCDAILY:ALL,PM1,greater,,,822,0.4043763873597982,Fail to reject H0,HAC,0.7049122164537627,7.387868852459018,6.682956636005256
AIRQ002_NOISE102,OCCDAILY:VENT_OFF,PM1,greater,,,629,0.9792421233288104,Fail to reject H0,HAC,-2.546981964573269,4.171296296296297,6.718278260869566
AIRQ002_NOISE102,OCCDAILY:ALL,PM25,greater,,,822,0.3781538132604109,Fail to reject H0,HAC,1.6598018138342567,13.2072131147541,11.547411300919842
AIRQ002_NOISE102,OCCDAILY:VENT_OFF,PM25,greater,,,629,0.9802649271047004,Fail to reject H0,HAC,-4.408963929146538,7.187592592592593,11.596556521739132
AIRQ002_NOISE102,OCCDAILY:ALL,PM10,greater,,,822,0.3758990514095527,Fail to reject H0,HAC,1.8808504771547376,14.348524590163937,12.467674113009195
AIRQ002_NOISE102,OCCDAILY:VENT_OFF,PM10,greater,,,629,0.9792853901848828,Fail to reject H0,HAC,-4.853883413848632,7.649629629629629,12.50351304347826
AIRQ002_NOISE102,OCCDAILY:ALL,HUM,greater,,,1391,0.0162089612240089,Reject H0,HAC,1.323597267299732,66.89589282889625,65.57229556159652
AIRQ002_NOISE102,OCCDAILY:VENT_OFF,HUM,greater,,,1074,0.0176777416675735,Reject H0,HAC,1.4412775502900672,66.88622940103483,65.44495185074476
AIRQ002_NOISE102,OCCDAILY:ALL,TEMP,greater,,,1391,0.9999757651109776,Fail to reject H0,HAC,-0.6944507195188123,24.490730004802117,25.18518072432093
AIRQ002_NOISE102,OCCDAILY:VENT_OFF,TEMP,greater,,,1074,0.9948964241725632,Fail to reject H0,HAC,-0.4814392994779126,24.46913915991418,24.95057845939209
AIRQ002_NOISE102,OCCDAILY:ALL,dCO2,greater,,,1341,0.0741036918836144,Fail to reject H0,HAC,2.540680305951123,1.9607692307692317,-0.5799110751818917
AIRQ002_NOISE102,OCCDAILY:VENT_OFF,dCO2,greater,,,1030,0.0038301889845405,Reject H0,HAC,2.214339243498817,5.412222222222221,3.197882978723404
COMBINED,FULL,CO2,greater,10.0,0.1289386991067521,6565,4.850559727337206e-26,Reject H0,,,,
COMBINED,FULL,dCO2,greater,11.0,0.0242764754512024,6449,0.0256209795216364,Reject H0,,,,
COMBINED,FULL,PM25,greater,0.0,0.0434665194508335,3948,0.0031517363182859,Reject H0,,,,
COMBINED,FULL,TEMP,two-sided,5.0,-0.1575153933024134,6681,2.247016622017874e-38,Reject H0,,,,
COMBINED,FULL,HUM,two-sided,5.0,0.0615484673097217,6681,4.787406655128786e-07,Reject H0,,,,
COMBINED,OCCWINDOW,CO2,greater,10.0,0.0851563430363862,2912,2.095535254325587e-06,Reject H0,,,,
COMBINED,OCCWINDOW,PM1,greater,0.0,-0.0033377291206386,1769,0.5557823231302121,Fail to reject H0,,,,
COMBINED,OCCWINDOW,PM25,greater,0.0,-0.0026388482189784,1769,0.5441562729469299,Fail to reject H0,,,,
COMBINED,OCCWINDOW,PM10,greater,0.0,-0.0029522159551684,1769,0.5493744986043689,Fail to reject H0,,,,
COMBINED,OCCWINDOW,HUM,greater,8.0,0.0736909145210451,2965,2.9550300880609862e-05,Reject H0,,,,
COMBINED,OCCWINDOW,TEMP,greater,3.0,-0.0001379733824721,2970,0.5029984489360537,Fail to reject H0,,,,
COMBINED,OCCWINDOW,dCO2,greater,11.0,0.0221954400275372,2863,0.1175666353409691,Fail to reject H0,,,,
COMBINED,OCCDAILY,CO2,greater,10.0,0.0584691692321603,2736,0.0011083325788758,Reject H0,,,,
COMBINED,OCCDAILY,PM1,greater,0.0,0.0234621979249254,1653,0.170215343746705,Fail to reject H0,,,,
COMBINED,OCCDAILY,PM25,greater,0.0,0.0264676009234864,1653,0.1410821022351578,Fail to reject H0,,,,
COMBINED,OCCDAILY,PM10,greater,0.0,0.0268220797790368,1653,0.1378831813054122,Fail to reject H0,,,,
COMBINED,OCCDAILY,HUM,greater,4.0,0.1370833482576394,2791,1.7551277925692373e-13,Reject H0,,,,
COMBINED,OCCDAILY,TEMP,greater,7.0,-0.071995305274874,2788,0.9999290102939322,Fail to reject H0,,,,
COMBINED,OCCDAILY,dCO2,greater,9.0,0.0340495032375732,2688,0.0387803138928305,Reject H0,,,,
COMBINED,OCCWINDOW:ALL,CO2,greater,,,2922,0.020051115615789,Reject H0,HAC,131.4554357181621,1539.843559322034,1408.388123603872
COMBINED,OCCWINDOW:VENT_OFF,CO2,greater,,,2153,0.0040182614927532,Reject H0,HAC,199.05687276317053,1570.9739644970414,1371.9170917338708
COMBINED,OCCWINDOW:ALL,PM1,greater,,,1769,0.6121371387533584,Fail to reject H0,HAC,-0.7303510984685824,7.439416058394161,8.169767156862743
COMBINED,OCCWINDOW:VENT_OFF,PM1,greater,,,1288,0.9995607926800012,Fail to reject H0,HAC,-3.7856173291569233,4.463368421052631,8.248985750209554
COMBINED,OCCWINDOW:ALL,PM25,greater,,,1769,0.6000852609006246,Fail to reject H0,HAC,-1.2034748014169183,12.77007299270073,13.973547794117648
COMBINED,OCCWINDOW:VENT_OFF,PM25,greater,,,1288,0.9996359238149354,Fail to reject H0,HAC,-6.86648616932104,7.294,14.16048616932104
COMBINED,OCCWINDOW:ALL,PM10,greater,,,1769,0.6008753696675582,Fail to reject H0,HAC,-1.376448225275512,13.94029197080292,15.316740196078433
COMBINED,OCCWINDOW:VENT_OFF,PM10,greater,,,1288,0.9996520580418956,Fail to reject H0,HAC,-7.812630784841398,7.70663157894737,15.519262363788767
COMBINED,OCCWINDOW:ALL,HUM,greater,,,2973,0.0858821018653087,Fail to reject H0,HAC,0.5804332089359434,67.45858342966577,66.87815022072982
