id_sensor,id_parameter,value,created_at
SCD30,TEMP,24.16,2025-08-12 10:21:14
SCD30,HUM,75.26,2025-08-12 10:21:14
SCD30,CO2,1609.43,2025-08-12 10:21:14
ENVIRO,TEMP,22.68,2025-08-12 10:21:23
ENVIRO,HUM,66.56,2025-08-12 10:21:23
ENVIRO,PRES,1007.04,2025-08-12 10:21:23
ENVIRO,LLUM,2.33,2025-08-12 10:21:23
DHT22,TEMP,21.75,2025-08-12 10:21:44
DHT22,HUM,78.1,2025-08-12 10:21:44
PMS5003,PM1,4.82,2025-08-12 10:21:55
PMS5003,PM25,7.32,2025-08-12 10:21:55
PMS5003,PM10,7.32,2025-08-12 10:21:55
PMS5003,UM03,797.45,2025-08-12 10:21:55
PMS5003,UM05,251.77,2025-08-12 10:21:55
PMS5003,UM1,32.05,2025-08-12 10:21:55
PMS5003,UM25,1.73,2025-08-12 10:21:55
PMS5003,UM5,0.0,2025-08-12 10:21:55
PMS5003,UM10,0.0,2025-08-12 10:21:55
SCD30,TEMP,24.27,2025-08-12 10:22:15
SCD30,HUM,74.85,2025-08-12 10:22:15
SCD30,CO2,1614.78,2025-08-12 10:22:15
ENVIRO,TEMP,22.94,2025-08-12 10:22:24
ENVIRO,HUM,66.0,2025-08-12 10:22:24
ENVIRO,PRES,1007.05,2025-08-12 10:22:24
ENVIRO,LLUM,2.33,2025-08-12 10:22:24
DHT22,TEMP,21.85,2025-08-12 10:22:46
DHT22,HUM,77.7,2025-08-12 10:22:46
SCD30,TEMP,24.34,2025-08-12 10:23:16
SCD30,HUM,74.44,2025-08-12 10:23:16
SCD30,CO2,1620.73,2025-08-12 10:23:16
ENVIRO,TEMP,23.63,2025-08-12 10:23:25
ENVIRO,HUM,65.94,2025-08-12 10:23:25
ENVIRO,PRES,1007.09,2025-08-12 10:23:25
ENVIRO,LLUM,2.33,2025-08-12 10:23:25
PMS5003,PM1,5.07,2025-08-12 10:23:37
PMS5003,PM25,8.11,2025-08-12 10:23:37
PMS5003,PM10,8.84,2025-08-12 10:23:37
PMS5003,UM03,925.36,2025-08-12 10:23:37
PMS5003,UM05,265.45,2025-08-12 10:23:37
PMS5003,UM1,42.45,2025-08-12 10:23:37
PMS5003,UM25,4.73,2025-08-12 10:23:37
PMS5003,UM5,1.14,2025-08-12 10:23:37
PMS5003,UM10,1.14,2025-08-12 10:23:37
DHT22,TEMP,22.05,2025-08-12 10:23:47
DHT22,HUM,77.4,2025-08-12 10:23:47
SCD30,TEMP,24.49,2025-08-12 10:24:17
SCD30,HUM,74.02,2025-08-12 10:24:17
SCD30,CO2,1629.19,2025-08-12 10:24:17
ENVIRO,TEMP,23.19,2025-08-12 10:24:26
ENVIRO,HUM,65.26,2025-08-12 10:24:26
ENVIRO,PRES,1007.06,2025-08-12 10:24:26
ENVIRO,LLUM,2.33,2025-08-12 10:24:26
DHT22,TEMP,22.15,2025-08-12 10:24:48
DHT22,HUM,76.9,2025-08-12 10:24:48
SCD30,TEMP,24.58,2025-08-12 10:25:18
SCD30,HUM,73.22,2025-08-12 10:25:18
SCD30,CO2,1629.72,2025-08-12 10:25:18
PMS5003,PM1,4.43,2025-08-12 10:25:18
PMS5003,PM25,7.34,2025-08-12 10:25:18
PMS5003,PM10,7.34,2025-08-12 10:25:18
PMS5003,UM03,769.23,2025-08-12 10:25:18
PMS5003,UM05,241.41,2025-08-12 10:25:18
PMS5003,UM1,42.5,2025-08-12 10:25:18
PMS5003,UM25,0.64,2025-08-12 10:25:18
PMS5003,UM5,0.0,2025-08-12 10:25:18
PMS5003,UM10,0.0,2025-08-12 10:25:18
ENVIRO,TEMP,23.35,2025-08-12 10:25:27
ENVIRO,HUM,64.97,2025-08-12 10:25:27
ENVIRO,PRES,1007.08,2025-08-12 10:25:27
ENVIRO,LLUM,2.33,2025-08-12 10:25:27
DHT22,TEMP,22.15,2025-08-12 10:25:50
DHT22,HUM,76.8,2025-08-12 10:25:50
ENVIRO,TEMP,0.01,2025-08-12 10:27:50
ENVIRO,HUM,115.7,2025-08-12 10:27:50
ENVIRO,PRES,648.66,2025-08-12 10:27:50
ENVIRO,LLUM,1.16,2025-08-12 10:27:50
DHT22,TEMP,22.55,2025-08-12 10:27:56
DHT22,HUM,77.0,2025-08-12 10:27:56
SCD30,TEMP,30.42,2025-08-12 10:27:57
SCD30,HUM,52.05,2025-08-12 10:27:57
SCD30,CO2,1670.4,2025-08-12 10:27:57
PMS5003,PM1,4.77,2025-08-12 10:28:24
PMS5003,PM25,7.58,2025-08-12 10:28:24
PMS5003,PM10,7.58,2025-08-12 10:28:24
PMS5003,UM03,1014.7,2025-08-12 10:28:24
PMS5003,UM05,278.0,2025-08-12 10:28:24
PMS5003,UM1,46.33,2025-08-12 10:28:24
PMS5003,UM25,0.0,2025-08-12 10:28:24
PMS5003,UM5,0.0,2025-08-12 10:28:24
PMS5003,UM10,0.0,2025-08-12 10:28:24
ENVIRO,TEMP,22.54,2025-08-12 10:28:51
ENVIRO,HUM,65.23,2025-08-12 10:28:51
ENVIRO,PRES,1007.04,2025-08-12 10:28:51
ENVIRO,LLUM,1.16,2025-08-12 10:28:51
DHT22,TEMP,22.85,2025-08-12 10:28:57
DHT22,HUM,76.3,2025-08-12 10:28:57
SCD30,TEMP,28.75,2025-08-12 10:28:58
SCD30,HUM,56.42,2025-08-12 10:28:58
SCD30,CO2,1669.32,2025-08-12 10:28:58
ENVIRO,TEMP,22.43,2025-08-12 10:29:52
ENVIRO,HUM,65.13,2025-08-12 10:29:52
ENVIRO,PRES,1007.05,2025-08-12 10:29:52
ENVIRO,LLUM,1.16,2025-08-12 10:29:52
DHT22,TEMP,23.05,2025-08-12 10:29:59
DHT22,HUM,75.4,2025-08-12 10:29:59
SCD30,TEMP,27.43,2025-08-12 10:29:59
SCD30,HUM,60.84,2025-08-12 10:29:59
SCD30,CO2,1670.82,2025-08-12 10:29:59
PMS5003,PM1,3.66,2025-08-12 10:30:08
PMS5003,PM25,6.39,2025-08-12 10:30:08
PMS5003,PM10,7.16,2025-08-12 10:30:08
PMS5003,UM03,760.64,2025-08-12 10:30:08
PMS5003,UM05,205.59,2025-08-12 10:30:08
PMS5003,UM1,33.77,2025-08-12 10:30:08
PMS5003,UM25,3.59,2025-08-12 10:30:08
PMS5003,UM5,1.41,2025-08-12 10:30:08
PMS5003,UM10,0.0,2025-08-12 10:30:08
ENVIRO,TEMP,22.25,2025-08-12 10:30:53
ENVIRO,HUM,65.2,2025-08-12 10:30:53
ENVIRO,PRES,1007.04,2025-08-12 10:30:53
ENVIRO,LLUM,1.16,2025-08-12 10:30:53
SCD30,TEMP,26.46,2025-08-12 10:31:00
SCD30,HUM,64.2,2025-08-12 10:31:00
SCD30,CO2,1679.77,2025-08-12 10:31:00
DHT22,TEMP,23.25,2025-08-12 10:31:00
DHT22,HUM,74.8,2025-08-12 10:31:00
PMS5003,PM1,3.41,2025-08-12 10:31:50
PMS5003,PM25,6.2,2025-08-12 10:31:50
PMS5003,PM10,6.2,2025-08-12 10:31:50
PMS5003,UM03,636.82,2025-08-12 10:31:50
PMS5003,UM05,195.64,2025-08-12 10:31:50
PMS5003,UM1,48.82,2025-08-12 10:31:50
PMS5003,UM25,1.5,2025-08-12 10:31:50
PMS5003,UM5,0.0,2025-08-12 10:31:50
PMS5003,UM10,0.0,2025-08-12 10:31:50
ENVIRO,TEMP,21.91,2025-08-12 10:31:54
ENVIRO,HUM,65.32,2025-08-12 10:31:54
ENVIRO,PRES,1007.05,2025-08-12 10:31:54
ENVIRO,LLUM,1.16,2025-08-12 10:31:54
SCD30,TEMP,25.9,2025-08-12 10:32:01
SCD30,HUM,66.77,2025-08-12 10:32:01
SCD30,CO2,1694.43,2025-08-12 10:32:01
DHT22,TEMP,23.35,2025-08-12 10:32:01
DHT22,HUM,74.7,2025-08-12 10:32:01
ENVIRO,TEMP,22.17,2025-08-12 10:32:55
ENVIRO,HUM,65.23,2025-08-12 10:32:55
ENVIRO,PRES,1007.05,2025-08-12 10:32:55
ENVIRO,LLUM,1.16,2025-08-12 10:32:55
SCD30,TEMP,25.31,2025-08-12 10:33:02
SCD30,HUM,68.48,2025-08-12 10:33:02
SCD30,CO2,1702.19,2025-08-12 10:33:02
DHT22,TEMP,23.45,2025-08-12 10:33:02
DHT22,HUM,74.3,2025-08-12 10:33:02
PMS5003,PM1,3.91,2025-08-12 10:33:32
PMS5003,PM25,7.07,2025-08-12 10:33:32
PMS5003,PM10,7.07,2025-08-12 10:33:32
PMS5003,UM03,826.77,2025-08-12 10:33:32
PMS5003,UM05,213.64,2025-08-12 10:33:32
PMS5003,UM1,44.59,2025-08-12 10:33:32
PMS5003,UM25,1.5,2025-08-12 10:33:32
PMS5003,UM5,0.0,2025-08-12 10:33:32
PMS5003,UM10,0.0,2025-08-12 10:33:32
ENVIRO,TEMP,21.69,2025-08-12 10:33:56
ENVIRO,HUM,65.15,2025-08-12 10:33:56
ENVIRO,PRES,1007.06,2025-08-12 10:33:56
ENVIRO,LLUM,1.16,2025-08-12 10:33:56
SCD30,TEMP,24.96,2025-08-12 10:34:03
SCD30,HUM,69.79,2025-08-12 10:34:03
SCD30,CO2,1703.33,2025-08-12 10:34:03
DHT22,TEMP,23.55,2025-08-12 10:34:04
DHT22,HUM,74.0,2025-08-12 10:34:04
ENVIRO,TEMP,21.62,2025-08-12 10:34:57
ENVIRO,HUM,65.15,2025-08-12 10:34:57
ENVIRO,PRES,1007.07,2025-08-12 10:34:57
ENVIRO,LLUM,1.16,2025-08-12 10:34:57
SCD30,TEMP,24.71,2025-08-12 10:35:04
SCD30,HUM,70.75,2025-08-12 10:35:04
SCD30,CO2,1708.98,2025-08-12 10:35:04
DHT22,TEMP,23.65,2025-08-12 10:35:05
DHT22,HUM,73.8,2025-08-12 10:35:05
PMS5003,PM1,3.64,2025-08-12 10:35:13
PMS5003,PM25,6.18,2025-08-12 10:35:13
PMS5003,PM10,7.36,2025-08-12 10:35:13
PMS5003,UM03,746.86,2025-08-12 10:35:13
PMS5003,UM05,227.23,2025-08-12 10:35:13
PMS5003,UM1,37.5,2025-08-12 10:35:13
PMS5003,UM25,2.05,2025-08-12 10:35:13
PMS5003,UM5,1.73,2025-08-12 10:35:13
PMS5003,UM10,1.09,2025-08-12 10:35:13
ENVIRO,TEMP,21.66,2025-08-12 10:35:58
ENVIRO,HUM,65.05,2025-08-12 10:35:58
ENVIRO,PRES,1007.07,2025-08-12 10:35:58
ENVIRO,LLUM,1.16,2025-08-12 10:35:58
SCD30,TEMP,24.41,2025-08-12 10:36:05
SCD30,HUM,71.79,2025-08-12 10:36:05
SCD30,CO2,1710.75,2025-08-12 10:36:05
DHT22,TEMP,23.65,2025-08-12 10:36:06
DHT22,HUM,73.5,2025-08-12 10:36:06
PMS5003,PM1,2.73,2025-08-12 10:36:55
PMS5003,PM25,5.0,2025-08-12 10:36:55
PMS5003,PM10,5.0,2025-08-12 10:36:55
PMS5003,UM03,613.5,2025-08-12 10:36:55
PMS5003,UM05,169.95,2025-08-12 10:36:55
PMS5003,UM1,41.68,2025-08-12 10:36:55
PMS5003,UM25,2.09,2025-08-12 10:36:55
PMS5003,UM5,0.0,2025-08-12 10:36:55
PMS5003,UM10,0.0,2025-08-12 10:36:55
ENVIRO,TEMP,21.59,2025-08-12 10:36:59
ENVIRO,HUM,65.07,2025-08-12 10:36:59
ENVIRO,PRES,1007.06,2025-08-12 10:36:59
ENVIRO,LLUM,1.16,2025-08-12 10:36:59
SCD30,TEMP,24.32,2025-08-12 10:37:06
SCD30,HUM,72.27,2025-08-12 10:37:06
SCD30,CO2,1710.18,2025-08-12 10:37:06
DHT22,TEMP,23.75,2025-08-12 10:37:07
DHT22,HUM,73.4,2025-08-12 10:37:07
ENVIRO,TEMP,21.87,2025-08-12 10:38:00
ENVIRO,HUM,65.04,2025-08-12 10:38:00
ENVIRO,PRES,1007.08,2025-08-12 10:38:00
ENVIRO,LLUM,1.16,2025-08-12 10:38:00
SCD30,TEMP,24.16,2025-08-12 10:38:07
SCD30,HUM,72.67,2025-08-12 10:38:07
SCD30,CO2,1715.5,2025-08-12 10:38:07
DHT22,TEMP,23.75,2025-08-12 10:38:09
DHT22,HUM,73.2,2025-08-12 10:38:09
PMS5003,PM1,4.55,2025-08-12 10:38:37
PMS5003,PM25,6.93,2025-08-12 10:38:37
PMS5003,PM10,8.16,2025-08-12 10:38:37
PMS5003,UM03,940.5,2025-08-12 10:38:37
PMS5003,UM05,254.5,2025-08-12 10:38:37
PMS5003,UM1,49.14,2025-08-12 10:38:37
PMS5003,UM25,2.73,2025-08-12 10:38:37
PMS5003,UM5,1.77,2025-08-12 10:38:37
PMS5003,UM10,1.09,2025-08-12 10:38:37
ENVIRO,TEMP,22.15,2025-08-12 10:39:01
ENVIRO,HUM,64.99,2025-08-12 10:39:01
ENVIRO,PRES,1007.08,2025-08-12 10:39:01
ENVIRO,LLUM,1.16,2025-08-12 10:39:01
SCD30,TEMP,24.22,2025-08-12 10:39:08
SCD30,HUM,72.81,2025-08-12 10:39:08
SCD30,CO2,1721.29,2025-08-12 10:39:08
DHT22,TEMP,23.75,2025-08-12 10:39:10
DHT22,HUM,73.4,2025-08-12 10:39:10
ENVIRO,TEMP,22.07,2025-08-12 10:40:02
ENVIRO,HUM,64.8,2025-08-12 10:40:02
ENVIRO,PRES,1007.09,2025-08-12 10:40:02
ENVIRO,LLUM,1.16,2025-08-12 10:40:02
SCD30,TEMP,24.15,2025-08-12 10:40:09
SCD30,HUM,72.76,2025-08-12 10:40:09
SCD30,CO2,1727.15,2025-08-12 10:40:09
DHT22,TEMP,23.75,2025-08-12 10:40:11
DHT22,HUM,73.3,2025-08-12 10:40:11
PMS5003,PM1,4.34,2025-08-12 10:40:18
PMS5003,PM25,7.14,2025-08-12 10:40:18
PMS5003,PM10,7.93,2025-08-12 10:40:18
PMS5003,UM03,893.59,2025-08-12 10:40:18
PMS5003,UM05,235.73,2025-08-12 10:40:18
PMS5003,UM1,46.05,2025-08-12 10:40:18
PMS5003,UM25,2.68,2025-08-12 10:40:18
PMS5003,UM5,0.36,2025-08-12 10:40:18
PMS5003,UM10,0.36,2025-08-12 10:40:18
ENVIRO,TEMP,22.27,2025-08-12 10:41:03
ENVIRO,HUM,64.66,2025-08-12 10:41:03
ENVIRO,PRES,1007.11,2025-08-12 10:41:03
ENVIRO,LLUM,1.16,2025-08-12 10:41:03
SCD30,TEMP,24.1,2025-08-12 10:41:10
SCD30,HUM,72.73,2025-08-12 10:41:10
SCD30,CO2,1724.18,2025-08-12 10:41:10
DHT22,TEMP,23.85,2025-08-12 10:41:13
DHT22,HUM,72.9,2025-08-12 10:41:13
PMS5003,PM1,0.98,2025-08-12 10:42:00
PMS5003,PM25,2.7,2025-08-12 10:42:00
PMS5003,PM10,2.7,2025-08-12 10:42:00
PMS5003,UM03,451.5,2025-08-12 10:42:00
PMS5003,UM05,122.68,2025-08-12 10:42:00
PMS5003,UM1,29.36,2025-08-12 10:42:00
PMS5003,UM25,1.09,2025-08-12 10:42:00
PMS5003,UM5,0.0,2025-08-12 10:42:00
PMS5003,UM10,0.0,2025-08-12 10:42:00
ENVIRO,TEMP,22.07,2025-08-12 10:42:04
ENVIRO,HUM,64.6,2025-08-12 10:42:04
ENVIRO,PRES,1007.1,2025-08-12 10:42:04
ENVIRO,LLUM,1.16,2025-08-12 10:42:04
SCD30,TEMP,24.03,2025-08-12 10:42:11
SCD30,HUM,72.9,2025-08-12 10:42:11
SCD30,CO2,1725.96,2025-08-12 10:42:11
DHT22,TEMP,23.85,2025-08-12 10:42:14
